Type,No.,Address,City,St.,Opened,Closed
Neighborhood Market,2173,14331 County Road 99,Headland,AL,"September 24, 2014","January 28, 2016"
Neighborhood Market,4189,335 Helena Market Place,Helena,AL,"November 6, 2013",
Discount Store,1481,209 Lakeshore Parkway,Homewood,AL,"October 29, 1990","April 29, 1998"
Supercenter,1481,209 Lakeshore Parkway,Homewood,AL,"April 30, 1998",
Discount Store,1229,1855 Montgomery Highway,Hoover,AL,"April 3, 1989","August 13, 2002"
Supercenter,1229,2780 John Hawkins Parkway,Hoover,AL,"August 14, 2002",
Supercenter,2111,5335 Highway 280 South,Hoover,AL,"April 17, 2002",
Neighborhood Market,3184,3320 Lorna Road,Hoover,AL,"August 14, 2013",
Supercenter,4497,1007 Red Farmer Drive,Hueytown,AL,"October 15, 2008",
Discount Store,332,1008 Jordan Lane Northwest,Huntsville,AL,"October 13, 1981","September 12, 1995"
Supercenter,332,6140 University Drive,Huntsville,AL,"September 13, 1995",
Discount Store,375,2009 Drake Avenue Southwest,Huntsville,AL,"July 26, 1981","October 22, 1996"
Discount Store,375,2900 Memorial Parkway Southwest,Huntsville,AL,"October 23, 1996","October 14, 2014"
Supercenter,375,3031 Memorial Parkway Southwest,Huntsville,AL,"October 15, 2014",
Discount Store,433,3515 Memorial Parkway Northwest,Huntsville,AL,"August 11, 1981","February 26, 1991"
Discount Store,433,3240 Memorial Parkway Northwest,Huntsville,AL,"February 27, 1991","March 16, 2004"
Supercenter,433,2200 Sparkman Drive,Huntsville,AL,"March 17, 2004",
Discount Store,434,10010 Memorial Parkway Southwest,Huntsville,AL,"August 11, 1981","June 28, 1989"
Discount Store,434,11202 Memorial Parkway Southwest,Huntsville,AL,"June 29, 1989","May 21, 1996"
Supercenter,434,11610 Memorial Parkway Southwest,Huntsville,AL,"May 22, 1996",
Neighborhood Market,3185,4226 Oakwood Avenue Northwest,Huntsville,AL,"November 5, 2014","December 20, 2024"
Supercenter,5197,330 Sutton Road,Huntsville,AL,"January 26, 2005",
Supercenter,5703,8580 Highway 72 West,Huntsville,AL,"October 26, 2012",
Neighborhood Market,5716,9020 Bailey Cove Road Southeast,Huntsville,AL,"January 27, 2016",
Pickup,5746,7520 Highway 72 West,Huntsville,AL,"April 6, 2016",2019
Neighborhood Market,5925,2305 Jordan Lane Southwest,Huntsville,AL,"October 5, 2016",
Pharmacy,7254,1 Cottonwood Drive Northwest,Huntsville,AL,"December 9, 2013",
Supercenter,7324,2165 Winchester Road Northeast,Huntsville,AL,"June 1, 2016",
Discount Store,1711,"Grants Mill Station, 5401 Beacon Drive",Irondale,AL,"July 2, 1991","October 23, 2007"
Supercenter,2760,4206 College Avenue,Jackson,AL,"September 15, 1999",
Discount Store,300,1555 Pelham Road South,Jacksonville,AL,"October 14, 1980","January 25, 2005"
Supercenter,300,1625 Pelham Road South,Jacksonville,AL,"January 26, 2005",
Discount Store,287,1200 Highway 78 West,Jasper,AL,"November 27, 1979","September 22, 1992"
Supercenter,287,1801 Highway 78 East,Jasper,AL,"September 23, 1992",
Discount Store,562,"Cedar Springs Shopping Center, 1550 Ashville Road Northeast",Leeds,AL,"November 1, 1983","October 12, 1999"
Supercenter,562,8551 Whitfield Avenue,Leeds,AL,"October 13, 1999",
Discount Store,377,1303 North Washington Street,Livingston,AL,"December 1, 1981","January 24, 2006"
Supercenter,2690,8650 Madison Boulevard,Madison,AL,"October 28, 1998",
Neighborhood Market,7342,7140 Wall Triana Highway,Madison,AL,"January 7, 2015",
Supercenter,4318,145 Kelley Boulevard,Millbrook,AL,"June 13, 2007",
Discount Store,853,7797 Airport Boulevard,Mobile,AL,"August 20, 1985","August 12, 1997"
Supercenter,853,685 Schillinger Road,Mobile,AL,"August 13, 1997",
Discount Store,866,5441 Highway 90 West,Mobile,AL,"June 30, 1988","October 14, 1997"
Supercenter,866,5245 Rangeline Service Road South,Mobile,AL,"October 15, 1997",
Discount Store,991,"Mobile Festival Center, 3725 Airport Boulevard",Mobile,AL,"November 11, 1986","May 14, 2002"
Supercenter,991,101 South Beltline Highway,Mobile,AL,"May 15, 2002",
Neighborhood Market,4210,1300 North University Boulevard,Mobile,AL,"January 28, 2015",
Supercenter,4581,2500 Dawes Road,Mobile,AL,"March 7, 2008",
Neighborhood Market,4648,6575 Airport Boulevard,Mobile,AL,"January 29, 2014",
Neighborhood Market,4657,6350 Cottage Hill Road,Mobile,AL,"June 25, 2008",
Neighborhood Market,5098,1970 South University Boulevard,Mobile,AL,"January 15, 2003",
Neighborhood Market,5740,2570 Government Boulevard,Mobile,AL,"November 11, 2015",
Discount Store,1493,465 Pike Street,Monroeville,AL,"August 1, 1990","March 17, 2009"
Supercenter,1493,3371 South Alabama Avenue,Monroeville,AL,"March 18, 2009",
Discount Store,930,2401 East South Boulevard,Montgomery,AL,"July 1, 1986","August 17, 1999"
Supercenter,930,3801 Eastern Boulevard,Montgomery,AL,"August 18, 1999",
Discount Store,938,5901 Atlanta Highway,Montgomery,AL,"July 1, 1986","October 23, 2001"
Supercenter,938,6495 Atlanta Highway,Montgomery,AL,"October 24, 2001",
Supercenter,4407,10710 Chantilly Parkway,Montgomery,AL,"April 18, 2007",
Neighborhood Market,4672,1600 Federal Drive,Montgomery,AL,"January 27, 2016",
Neighborhood Market,4691,8035 Vaughn Road,Montgomery,AL,"March 2, 2016",
Supercenter,5348,851 Ann Street,Montgomery,AL,"July 19, 2006",
Discount Store,394,11655 Highway 157,Moulton,AL,"December 1, 1981","January 25, 2005"
Supercenter,394,15445 Highway 24,Moulton,AL,"January 26, 2005",
Discount Store,660,"Southgate Mall, 519 West Avalon Avenue",Muscle Shoals,AL,"May 28, 1983","July 18, 1995"
Supercenter,660,301 Avalon Avenue,Muscle Shoals,AL,"July 19, 1995",
Neighborhood Market,3779,10188 Highway 431 South,New Hope,AL,"December 17, 2014","January 28, 2016"
Discount Store,2306,5710 McFarland Boulevard,Northport,AL,"May 31, 1995","April 8, 2003"
Supercenter,2306,5710 McFarland Boulevard,Northport,AL,"April 9, 2003",
Neighborhood Market,5248,"Northport Corners Shopping Center, 1660 McFarland Boulevard",Northport,AL,"August 31, 2016",
Discount Store,315,27550 Highway 75 South,Oneonta,AL,"October 14, 1980",August 1996
Supercenter,315,2453 2nd Avenue East,Oneonta,AL,August 1996,
Discount Store,355,918 Columbus Parkway,Opelika,AL,"November 18, 1980","March 1, 1993"
Discount Store,355,"Pepperell Corners, 2500 Pepperell Parkway",Opelika,AL,"March 2, 1993","May 14, 2002"
Supercenter,355,2900 Pepperell Parkway,Opelika,AL,"May 15, 2002",
Neighborhood Market,5653,25241 Perdido Beach Boulevard,Orange Beach,AL,"May 18, 2011",
Discount Store,809,900 Quintard Drive,Oxford,AL,"August 30, 1985","March 26, 1996"
Supercenter,809,92 Plaza Lane,Oxford,AL,"March 27, 1996",
Discount Store,740,"Ozark Square Shopping Center, 270 North Union Avenue",Ozark,AL,"July 4, 1981",1985
Discount Store,740,"Martindale Plaza, 401 Highway 231 South",Ozark,AL,1985,December 1993
Discount Store,740,1537 Highway 231 South,Ozark,AL,December 1993,"April 8, 2003"
Supercenter,740,1537 Highway 231 South,Ozark,AL,"April 9, 2003",
Discount Store,423,3000 Montgomery Parkway,Pelham,AL,"December 1, 1981","May 23, 1995"
Discount Store,423,3500 Pelham Parkway,Pelham,AL,"May 24, 1995","August 23, 2005"
Supercenter,5262,2181 Pelham Parkway,Pelham,AL,"March 17, 2004",
Supercenter,5113,165 Vaughan Lane,Pell City,AL,"July 16, 2003",
Discount Store,1284,800 22nd Avenue,Phenix City,AL,"April 3, 1989","August 18, 1998"
Supercenter,1284,3700 Highway 280-431 North,Phenix City,AL,"August 19, 1998",
Neighborhood Market,5903,3864 Highway 80 West,Phenix City,AL,"January 20, 2016",
Discount Store,483,1722 East Main Street,Prattville,AL,"October 5, 1982","August 20, 1996"
Supercenter,483,1903 Cobbs Ford Road,Prattville,AL,"August 21, 1996",
Discount Store,863,3077 US Highway 431,Roanoke,AL,"October 15, 1985","March 16, 2004"
Supercenter,863,4180 US Highway 431,Roanoke,AL,"March 17, 2004",
Supercenter,6173,21141 Highway 59,Robertsdale,AL,"September 24, 2014",
Discount Store,403,15485 Highway 43,Russellville,AL,"November 3, 1981","January 25, 2005"
Supercenter,403,13675 Highway 43,Russellville,AL,"January 26, 2005",
Discount Store,1212,727 Highway 43 South,Saraland,AL,"September 1, 1988","August 20, 1996"
Supercenter,1212,1095 Industrial Parkway,Saraland,AL,"August 21, 1996",
Discount Store,712,"Jackson Square Shopping Center, 1601 South Broad Street",Scottsboro,AL,"July 4, 1981","March 20, 1990"
Discount Store,712,"Jackson Square Shopping Center, 1509 South Broad Street",Scottsboro,AL,"March 21, 1990","September 14, 1999"
Supercenter,712,24833 John T. Reid Parkway,Scottsboro,AL,"September 15, 1999",
Discount Store,700,"Valley Creek Shopping Center, 212 Highland Avenue",Selma,AL,"July 4, 1981","September 26, 1995"
Supercenter,700,1501 Highway 14 East,Selma,AL,"September 27, 1995",
Supercenter,5174,7855 Moffett Road,Semmes,AL,"January 21, 2004",
Discount Store,660,"Towne Plaza Shopping Center, 500 South Montgomery Avenue",Sheffield,AL,"July 4, 1981","May 27, 1983"
Neighborhood Market,2165,952 East Lawrence Harris Highway,Slocomb,AL,"December 10, 2014","January 28, 2016"
Neighborhood Market,2260,87395 US Highway 278,Snead,AL,"November 5, 2014","January 28, 2016"
Supercenter,3386,160 Springville Station Boulevard,Springville,AL,"January 23, 2006",
Supercenter,2723,690 Highway 78,Sumiton,AL,"September 15, 1999",
Discount Store,730,211 West Fort Williams Street ,Sylacauga,AL,"July 4, 1981",March 1996
Supercenter,730,"Payton Park, 41301 US Highway 280",Sylacauga,AL,March 1996,
Discount Store,432,"Northgate Shopping Center, 65362 Highway 77",Talladega,AL,"August 18, 1981",1989
Discount Store,432,214 Haynes Street,Talladega,AL,1989,"April 20, 2004"
Supercenter,432,214 Haynes Street,Talladega,AL,"April 21, 2004",
Discount Store,1057,"Patton Plaza Shopping Center, 1300 Gilmer Avenue",Tallassee,AL,"February 3, 1987","July 22, 2014"
Supercenter,1057,2190 Gilmer Avenue,Tallassee,AL,"July 23, 2014",
Discount Store,1174,1019 Highway 43 North,Thomasville,AL,"April 12, 1988",September 1994
Supercenter,1174,34301 Highway 43,Thomasville,AL,September 1994,
Neighborhood Market,5744,7320 Theodore Dawes Road,Tillmans Corner,AL,"January 27, 2016",
Discount Store,723,Troy Plaza,Troy,AL,"July 4, 1981",1989
Discount Store,723,"Troy Marketplace, 1261 US Highway 231 South",Troy,AL,1989,June 1999
Supercenter,723,1420 US Highway 231 South,Troy,AL,June 1999,
Supercenter,2713,"Trussville Promenade South, 5919 Trussville Crossings Parkway",Trussville,AL,"May 17, 2000",
Discount Store,715,"Wood Square Shopping Center, 1309 McFarland Boulevard East",Tuscaloosa,AL,"July 4, 1981",May 1987
Discount Store,715,"Bama Mall, 2600 McFarland Boulevard East",Tuscaloosa,AL,May 1987,August 1993
Supercenter,715,1501 Skyland Boulevard East,Tuscaloosa,AL,August 1993,
Neighborhood Market,5256,4201 Hargrove Road,Tuscaloosa,AL,"September 30, 2015",
Neighborhood Market,,,Tuscaloosa,AL,2025,
Discount Store,679,"Ford's Shopping Center, 713 West Martin Luther King Highway",Tuskegee,AL,"October 17, 1984","October 11, 1988"
Discount Store,733,"Chambers Square, 3418 20th Avenue",Valley,AL,"July 4, 1981",July 1997
Supercenter,733,3501 20th Avenue,Valley,AL,July 1997,
Neighborhood Market,4580,1300 Montgomery Highway,Vestavia Hills,AL,"July 25, 2007",
Discount Store,1101,4656 US Highway 231,Wetumpka,AL,"October 20, 1987","April 15, 2003"
Supercenter,1101,4538 US Highway 231,Wetumpka,AL,"April 16, 2003",
Discount Store,362,2365 US Highway 43 West,Winfield,AL,"August 18, 1981","October 23, 2007"
Supercenter,362,2575 US Highway 43 West,Winfield,AL,"October 24, 2007",
Discount Store,358,200 Highway 64 West,Alma,AR,"June 2, 1981","May 16, 2006"
Supercenter,358,367 West Cherry Street,Alma,AR,"May 17, 2006",
Discount Store,318,2727 Caddo Street,Arkadelphia,AR,"April 15, 1980",1999
Supercenter,318,109 W.P. Malone Drive,Arkadelphia,AR,1999,
Discount Store,160,60 Highway 412,Ash Flat,AR,February 1977,"October 19, 1993"
Supercenter,160,219 Highway 412,Ash Flat,AR,"October 20, 1993",
Discount Store,133,1040 South Constitution Avenue,Ashdown,AR,May 1976,"October 23, 2007"
Supercenter,133,297 Highway 32 Bypass East,Ashdown,AR,"October 24, 2007",
Discount Store,119,1901 Harrison Street,Batesville,AR,"August 19, 1975","May 19, 1991"
Supercenter,119,3150 Harrison Street,Batesville,AR,"May 23, 1991",
Supercenter,4168,2003 West Center Street,Beebe,AR,"August 2, 2013",
Discount Store,85,"Military Plaza Shopping Center, 1212 Military Road",Benton,AR,May 1974,"February 1, 1988"
Discount Store,85,"Wal-Mart Center, 1516 Military Road",Benton,AR,"February 2, 1988","January 24, 1995"
Supercenter,85,17309 Interstate 30,Benton,AR,"January 25, 1995",
Discount Store,100,601 North Walton Boulevard,Bentonville,AR,October 1974,"May 19, 1992"
Supercenter,100,406 South Walton Boulevard,Bentonville,AR,"May 20, 1992",
Discount Store,255,"Midtown Shopping Center, 110 Northwest 2nd Street",Bentonville,AR,1979,1982
Pharmacy,2203,"Walmart Home Office, 702 Southwest 8th Street",Bentonville,AR,"August 30, 1993",
Pickup,2685,3701 Southeast Dobson Road,Bentonville,AR,"September 2, 2014","February 17, 2023"
Neighborhood Market,2686,1703 East Central Avenue,Bentonville,AR,"January 21, 2015",
Neighborhood Market,2741,3510 Southeast 14th Street,Bentonville,AR,"October 7, 1998",
Neighborhood Market,3164,205 North Main Street,Bentonville,AR,"November 11, 2015",
Neighborhood Market,4376,1400 North Walton Boulevard,Bentonville,AR,"June 10, 2015",
Neighborhood Market,4686,906 Southwest Regional Airport Road,Bentonville,AR,"August 28, 2013",
Gas Station,7368,1300 South Walton Boulevard,Bentonville,AR,"September 13, 2017",
Discount Store,76,"William's Shopping Center, 314 West Eureka Avenue",Berryville,AR,November 1973,1980
Discount Store,76,928 West Trimble Avenue,Berryville,AR,1980,"February 7, 1993"
Supercenter,76,1000 West Trimble Avenue,Berryville,AR,"February 8, 1993",
Discount Store,62,1401 East Main Street,Blytheville,AR,"September 18, 1973","June 18, 1991"
Discount Store,62,301 South Service Road,Blytheville,AR,"June 19, 1991","April 20, 1999"
Supercenter,62,3700 East Highway 18,Blytheville,AR,"April 21, 1999",
Discount Store,55,"Eastgate Shopping Center, 1234 East Main Street",Booneville,AR,October 1972,1981
Discount Store,55,1555 East Main Street,Booneville,AR,1981,"March 10, 2015"
Supercenter,55,1400 East Main Street,Booneville,AR,"March 11, 2015",
Discount Store,84,"Pinecrest Plaza Shopping Center, 1421 Pinecrest Street",Brinkley,AR,May 1974,"May 30, 2009"
Supercenter,3230,400 Bryant Avenue,Bryant,AR,"March 14, 2001",
Supercenter,2587,204 South Rockwood Drive,Cabot,AR,"October 29, 1997","July 18, 2006"
Supercenter,2587,304 South Rockwood Drive,Cabot,AR,"July 19, 2006",
Neighborhood Market,6975,1203 South Pine Street,Cabot,AR,"November 5, 2014",
Discount Store,171,"Southwest Shopping Center, 1270 US Highway 278",Camden,AR,"November 1, 1977",1990
Discount Store,171,1270 US Highway 278,Camden,AR,1990,"May 19, 2009"
Supercenter,171,950 California Avenue Southwest,Camden,AR,"May 20, 2009",
Neighborhood Market,6953,1800 East Centerton Boulevard,Centerton,AR,"June 18, 2014",
Neighborhood Market,2601,814 West Main Street,Charleston,AR,"January 14, 2015","January 28, 2016"
Discount Store,66,"Southgate Shopping Center, 1121 South Rogers Street",Clarksville,AR,August 1973,1990
Discount Store,66,"Southgate Shopping Center, 1121 South Rogers Street",Clarksville,AR,1990,"July 16, 2002"
Supercenter,66,1230 Market Street,Clarksville,AR,"July 17, 2002",
Discount Store,788,1355 US Highway 65 South,Clinton,AR,"September 10, 1985","April 17, 2001"
Supercenter,788,1966 US Highway 65 South,Clinton,AR,"April 18, 2001",
Neighborhood Market,2669,1531 East Highway 64,Coal Hill,AR,"January 21, 2015","January 28, 2016"
Discount Store,5,"Midtown Plaza, 1068 Markham Street",Conway,AR,"August 2, 1966",1973
Discount Store,5,"Faulkner Plaza Shopping Center, 150 East Oak Street",Conway,AR,1973,"September 22, 1992"
Supercenter,5,1155 Highway 65 North,Conway,AR,"September 23, 1992",
Supercenter,2575,3900 Dave Ward Drive,Conway,AR,"January 26, 2000",
Neighborhood Market,3168,2550 Prince Street,Conway,AR,"July 17, 2013",
Discount Store,235,1900 West Main Street,Corning,AR,"November 28, 1978","July 20, 2018"
Discount Store,167,1308 Main Street,Crossett,AR,April 1977,"January 25, 2005"
Supercenter,167,910 Unity Road,Crossett,AR,"January 26, 2005",
Neighborhood Market,3878,5 Highway 124 West,Damascus,AR,"January 7, 2015","January 28, 2016"
Discount Store,296,1172 North Highway 7,Dardanelle,AR,"August 28, 1980","October 25, 2005"
Supercenter,296,1172 North Highway 7,Dardanelle,AR,"October 26, 2005",
Discount Store,279,706 East Collin Raye Drive,De Queen,AR,"February 12, 1980","March 16, 2004"
Supercenter,279,926 East Collin Raye Drive,De Queen,AR,"March 17, 2004",
