data_year,actual,synthetic,period,treated_unit,treatment_year,effect,rel_year
1990,5917,2366.7877816150803,Pre-Treatment,Androscoggin_County,2001,3550.2122183849197,-11
1991,5988,2291.597751343358,Pre-Treatment,Androscoggin_County,2001,3696.402248656642,-10
1992,5758,2312.6100671119552,Pre-Treatment,Androscoggin_County,2001,3445.3899328880448,-9
1993,6176,2365.117627839554,Pre-Treatment,Androscoggin_County,2001,3810.882372160446,-8
1994,6238,2513.784772078038,Pre-Treatment,Androscoggin_County,2001,3724.215227921962,-7
1995,6173,2634.1622501690963,Pre-Treatment,Androscoggin_County,2001,3538.8377498309037,-6
1996,6160,2708.2213002801595,Pre-Treatment,Androscoggin_County,2001,3451.7786997198405,-5
1997,6564,2662.5094399816608,Pre-Treatment,Androscoggin_County,2001,3901.4905600183392,-4
1998,6797,2724.892074730204,Pre-Treatment,Androscoggin_County,2001,4072.107925269796,-3
1999,6954,2820.785220840097,Pre-Treatment,Androscoggin_County,2001,4133.214779159904,-2
2000,7187,2888.39420702847,Pre-Treatment,Androscoggin_County,2001,4298.60579297153,-1
2001,7288,2942.3942741790484,Post-Treatment,Androscoggin_County,2001,4345.605725820951,0
2002,7241,2907.0885435791315,Post-Treatment,Androscoggin_County,2001,4333.9114564208685,1
2003,7020,2929.6891214454818,Post-Treatment,Androscoggin_County,2001,4090.3108785545182,2
2004,7142,2977.065494992444,Post-Treatment,Androscoggin_County,2001,4164.934505007555,3
2005,6759,2954.4213807277033,Post-Treatment,Androscoggin_County,2001,3804.5786192722967,4
2006,6535,2916.666596738383,Post-Treatment,Androscoggin_County,2001,3618.333403261617,5
2007,6628,2839.1364307229906,Post-Treatment,Androscoggin_County,2001,3788.8635692770094,6
2008,6566,2788.9390184913555,Post-Treatment,Androscoggin_County,2001,3777.0609815086445,7
2009,6255,2674.1445810886944,Post-Treatment,Androscoggin_County,2001,3580.8554189113056,8
2010,6330,2622.8598487499535,Post-Treatment,Androscoggin_County,2001,3707.1401512500465,9
2011,6349,2576.420036840233,Post-Treatment,Androscoggin_County,2001,3772.579963159767,10
2012,6428,2622.995859514227,Post-Treatment,Androscoggin_County,2001,3805.004140485773,11
2013,6290,2578.623301801737,Post-Treatment,Androscoggin_County,2001,3711.376698198263,12
