"Label (Grouping)","United States!!Households!!Estimate","United States!!Households!!Margin of Error","United States!!Families!!Estimate","United States!!Families!!Margin of Error","United States!!Married-couple families!!Estimate","United States!!Married-couple families!!Margin of Error","United States!!Nonfamily households!!Estimate","United States!!Nonfamily households!!Margin of Error"
"Total","118,860,065","±154,606","77,785,962","±125,088","56,967,798","±148,592","41,074,103","±103,964"
"Less than $10,000","6.7%","±0.1","4.0%","±0.1","1.5%","±0.1","12.9%","±0.1"
"$10,000 to $14,999","4.8%","±0.1","2.7%","±0.1","1.4%","±0.1","9.2%","±0.1"
"$15,000 to $24,999","9.7%","±0.1","7.1%","±0.1","4.4%","±0.1","15.5%","±0.1"
"$25,000 to $34,999","9.5%","±0.1","8.1%","±0.1","6.3%","±0.1","12.5%","±0.1"
"$35,000 to $49,999","13.0%","±0.1","12.2%","±0.1","10.7%","±0.1","14.6%","±0.1"
"$50,000 to $74,999","17.7%","±0.1","18.4%","±0.1","18.5%","±0.1","16.0%","±0.1"
"$75,000 to $99,999","12.3%","±0.1","14.2%","±0.1","16.0%","±0.1","8.0%","±0.1"
"$100,000 to $149,999","14.0%","±0.1","17.3%","±0.1","20.9%","±0.1","6.9%","±0.1"
"$150,000 to $199,999","5.8%","±0.1","7.5%","±0.1","9.5%","±0.1","2.2%","±0.1"
"$200,000 or more","6.4%","±0.1","8.3%","±0.1","10.8%","±0.1","2.3%","±0.1"
"Median income (dollars)","57,617","±115","71,062","±119","85,290","±122","34,963","±138"
"Mean income (dollars)","81,346","±126","95,353","±176","111,011","±204","51,249","±187"
"PERCENT ALLOCATED","","","","","","","",""
"    Household income in the past 12 months","35.3%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Family income in the past 12 months","(X)","(X)","36.0%","(X)","(X)","(X)","(X)","(X)"
"    Nonfamily income in the past 12 months","(X)","(X)","(X)","(X)","(X)","(X)","32.2%","(X)"
