"Label (Grouping)","United States!!Households!!Estimate","United States!!Households!!Margin of Error","United States!!Families!!Estimate","United States!!Families!!Margin of Error","United States!!Married-couple families!!Estimate","United States!!Married-couple families!!Margin of Error","United States!!Nonfamily households!!Estimate","United States!!Nonfamily households!!Margin of Error"
"Total","129,870,928","±136,261","83,304,153","±133,863","60,921,873","±168,299","46,566,775","±117,191"
"    Less than $10,000","5.5%","±0.1","3.4%","±0.1","1.5%","±0.1","10.2%","±0.1"
"    $10,000 to $14,999","3.7%","±0.1","1.8%","±0.1","0.9%","±0.1","7.4%","±0.1"
"    $15,000 to $24,999","6.8%","±0.1","4.4%","±0.1","2.6%","±0.1","11.7%","±0.1"
"    $25,000 to $34,999","7.3%","±0.1","5.6%","±0.1","3.8%","±0.1","10.9%","±0.1"
"    $35,000 to $49,999","10.7%","±0.1","9.3%","±0.1","7.2%","±0.1","13.8%","±0.1"
"    $50,000 to $74,999","16.2%","±0.1","15.7%","±0.1","14.3%","±0.1","17.3%","±0.1"
"    $75,000 to $99,999","12.8%","±0.1","13.9%","±0.1","14.4%","±0.1","10.3%","±0.1"
"    $100,000 to $149,999","16.9%","±0.1","20.1%","±0.1","22.9%","±0.1","10.2%","±0.1"
"    $150,000 to $199,999","8.7%","±0.1","11.0%","±0.1","13.4%","±0.1","3.9%","±0.1"
"    $200,000 or more","11.5%","±0.1","14.9%","±0.1","19.0%","±0.1","4.4%","±0.1"
"Median income (dollars)","74,755","±148","92,148","±207","109,250","±230","45,046","±166"
"Mean income (dollars)","105,555","±198","124,663","±281","144,576","±336","66,351","±245"
"PERCENT ALLOCATED","","","","","","","",""
"    Household income in the past 12 months","37.6%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Family income in the past 12 months","(X)","(X)","39.6%","(X)","(X)","(X)","(X)","(X)"
"    Nonfamily income in the past 12 months","(X)","(X)","(X)","(X)","(X)","(X)","32.7%","(X)"
