"Label (Grouping)","United States!!Households!!Estimate","United States!!Households!!Margin of Error","United States!!Families!!Estimate","United States!!Families!!Margin of Error","United States!!Married-couple families!!Estimate","United States!!Married-couple families!!Margin of Error","United States!!Nonfamily households!!Estimate","United States!!Nonfamily households!!Margin of Error"
"Total","127,544,730","±97,632","82,464,986","±105,035","60,360,084","±126,162","45,079,744","±90,684"
"    Less than $10,000","6.0%","±0.1","3.7%","±0.1","1.6%","±0.1","11.3%","±0.1"
"    $10,000 to $14,999","3.9%","±0.1","2.0%","±0.1","1.0%","±0.1","7.6%","±0.1"
"    $15,000 to $24,999","7.5%","±0.1","5.0%","±0.1","3.0%","±0.1","12.8%","±0.1"
"    $25,000 to $34,999","7.8%","±0.1","6.2%","±0.1","4.3%","±0.1","11.4%","±0.1"
"    $35,000 to $49,999","11.3%","±0.1","10.0%","±0.1","8.1%","±0.1","14.1%","±0.1"
"    $50,000 to $74,999","16.8%","±0.1","16.6%","±0.1","15.6%","±0.1","17.1%","±0.1"
"    $75,000 to $99,999","12.8%","±0.1","14.1%","±0.1","15.0%","±0.1","9.7%","±0.1"
"    $100,000 to $149,999","16.3%","±0.1","19.6%","±0.1","22.7%","±0.1","9.1%","±0.1"
"    $150,000 to $199,999","7.9%","±0.1","10.0%","±0.1","12.4%","±0.1","3.4%","±0.1"
"    $200,000 or more","9.8%","±0.1","12.8%","±0.1","16.3%","±0.1","3.5%","±0.1"
"Median income (dollars)","69,717","±134","85,806","±198","102,432","±201","41,549","±114"
"Mean income (dollars)","97,962","±187","115,522","±243","134,093","±314","61,091","±209"
"PERCENT ALLOCATED","","","","","","","",""
"    Household income in the past 12 months","39.1%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Family income in the past 12 months","(X)","(X)","40.9%","(X)","(X)","(X)","(X)","(X)"
"    Nonfamily income in the past 12 months","(X)","(X)","(X)","(X)","(X)","(X)","34.1%","(X)"
