"Label (Grouping)","United States!!Households!!Estimate","United States!!Households!!Margin of Error","United States!!Families!!Estimate","United States!!Families!!Margin of Error","United States!!Married-couple families!!Estimate","United States!!Married-couple families!!Margin of Error","United States!!Nonfamily households!!Estimate","United States!!Nonfamily households!!Margin of Error"
"Total","120,062,818","±161,148","78,631,163","±144,258","57,847,574","±164,114","41,431,655","±105,291"
"Less than $10,000","6.5%","±0.1","3.8%","±0.1","1.5%","±0.1","12.6%","±0.1"
"$10,000 to $14,999","4.5%","±0.1","2.5%","±0.1","1.3%","±0.1","8.8%","±0.1"
"$15,000 to $24,999","9.3%","±0.1","6.6%","±0.1","4.1%","±0.1","15.2%","±0.1"
"$25,000 to $34,999","9.1%","±0.1","7.8%","±0.1","5.9%","±0.1","12.2%","±0.1"
"$35,000 to $49,999","12.7%","±0.1","11.9%","±0.1","10.3%","±0.1","14.4%","±0.1"
"$50,000 to $74,999","17.6%","±0.1","18.1%","±0.1","18.0%","±0.1","16.2%","±0.1"
"$75,000 to $99,999","12.5%","±0.1","14.3%","±0.1","15.9%","±0.1","8.4%","±0.1"
"$100,000 to $149,999","14.6%","±0.1","17.9%","±0.1","21.4%","±0.1","7.3%","±0.1"
"$150,000 to $199,999","6.3%","±0.1","8.0%","±0.1","10.1%","±0.1","2.4%","±0.1"
"$200,000 or more","6.9%","±0.1","9.0%","±0.1","11.6%","±0.1","2.5%","±0.1"
"Median income (dollars)","60,336","±86","73,891","±159","88,315","±184","35,980","±95"
"Mean income (dollars)","84,525","±136","99,114","±189","115,053","±211","53,066","±159"
"PERCENT ALLOCATED","","","","","","","",""
"    Household income in the past 12 months","35.3%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Family income in the past 12 months","(X)","(X)","36.0%","(X)","(X)","(X)","(X)","(X)"
"    Nonfamily income in the past 12 months","(X)","(X)","(X)","(X)","(X)","(X)","32.3%","(X)"
