"Label (Grouping)","United States!!Households!!Estimate","United States!!Households!!Margin of Error","United States!!Families!!Estimate","United States!!Families!!Margin of Error","United States!!Married-couple families!!Estimate","United States!!Married-couple families!!Margin of Error","United States!!Nonfamily households!!Estimate","United States!!Nonfamily households!!Margin of Error"
"Total","114,991,725","±179,541","76,084,006","±144,469","55,519,648","±157,000","38,907,719","±111,894"
"Less than $10,000","7.8%","±0.1","5.1%","±0.1","1.8%","±0.1","14.6%","±0.1"
"$10,000 to $14,999","5.8%","±0.1","3.5%","±0.1","1.8%","±0.1","10.8%","±0.1"
"$15,000 to $24,999","11.4%","±0.1","8.8%","±0.1","6.0%","±0.1","17.2%","±0.1"
"$25,000 to $34,999","10.6%","±0.1","9.4%","±0.1","7.7%","±0.1","13.0%","±0.1"
"$35,000 to $49,999","13.9%","±0.1","13.5%","±0.1","12.6%","±0.1","14.4%","±0.1"
"$50,000 to $74,999","18.0%","±0.1","19.3%","±0.1","20.5%","±0.1","14.6%","±0.1"
"$75,000 to $99,999","11.7%","±0.1","13.9%","±0.1","16.2%","±0.1","6.9%","±0.1"
"$100,000 to $149,999","12.1%","±0.1","15.1%","±0.1","18.7%","±0.1","5.3%","±0.1"
"$150,000 to $199,999","4.4%","±0.1","5.7%","±0.1","7.3%","±0.1","1.6%","±0.1"
"$200,000 or more","4.3%","±0.1","5.6%","±0.1","7.3%","±0.1","1.5%","±0.1"
"Median income (dollars)","50,502","±73","61,455","±109","74,392","±129","30,500","±86"
"Mean income (dollars)","69,821","±101","81,375","±141","95,235","±174","44,404","±140"
"PERCENT IMPUTED","","","","","","","",""
"    Household income in the past 12 months","29.0%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Family income in the past 12 months","(X)","(X)","29.5%","(X)","(X)","(X)","(X)","(X)"
"    Nonfamily income in the past 12 months","(X)","(X)","(X)","(X)","(X)","(X)","26.3%","(X)"
