"Label (Grouping)","United States!!Households!!Estimate","United States!!Households!!Margin of Error","United States!!Families!!Estimate","United States!!Families!!Margin of Error","United States!!Married-couple families!!Estimate","United States!!Married-couple families!!Margin of Error","United States!!Nonfamily households!!Estimate","United States!!Nonfamily households!!Margin of Error"
"Total","117,259,427","±146,938","77,152,072","±126,112","56,114,671","±141,256","40,107,355","±83,075"
"Less than $10,000","7.3%","±0.1","4.7%","±0.1","1.7%","±0.1","13.7%","±0.1"
"$10,000 to $14,999","5.3%","±0.1","3.1%","±0.1","1.5%","±0.1","9.8%","±0.1"
"$15,000 to $24,999","10.5%","±0.1","7.9%","±0.1","5.1%","±0.1","16.4%","±0.1"
"$25,000 to $34,999","10.0%","±0.1","8.8%","±0.1","7.0%","±0.1","12.8%","±0.1"
"$35,000 to $49,999","13.5%","±0.1","12.9%","±0.1","11.7%","±0.1","14.6%","±0.1"
"$50,000 to $74,999","17.8%","±0.1","18.8%","±0.1","19.5%","±0.1","15.2%","±0.1"
"$75,000 to $99,999","12.0%","±0.1","14.0%","±0.1","16.1%","±0.1","7.5%","±0.1"
"$100,000 to $149,999","13.1%","±0.1","16.2%","±0.1","19.9%","±0.1","6.2%","±0.1"
"$150,000 to $199,999","5.2%","±0.1","6.6%","±0.1","8.5%","±0.1","1.9%","±0.1"
"$200,000 or more","5.3%","±0.1","7.0%","±0.1","9.1%","±0.1","1.9%","±0.1"
"Median income (dollars)","53,657","±93","65,910","±113","80,036","±110","32,220","±67"
"Mean income (dollars)","75,591","±111","88,394","±161","103,607","±201","47,733","±125"
"PERCENT IMPUTED","","","","","","","",""
"    Household income in the past 12 months","31.3%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Family income in the past 12 months","(X)","(X)","31.8%","(X)","(X)","(X)","(X)","(X)"
"    Nonfamily income in the past 12 months","(X)","(X)","(X)","(X)","(X)","(X)","28.6%","(X)"
