"Label (Grouping)","United States!!Households!!Estimate","United States!!Households!!Margin of Error","United States!!Families!!Estimate","United States!!Families!!Margin of Error","United States!!Married-couple families!!Estimate","United States!!Married-couple families!!Margin of Error","United States!!Nonfamily households!!Estimate","United States!!Nonfamily households!!Margin of Error"
"Total","118,208,250","±155,130","77,530,756","±136,900","56,715,795","±151,069","40,677,494","±98,602"
"Less than $10,000","6.9%","±0.1","4.3%","±0.1","1.5%","±0.1","13.0%","±0.1"
"$10,000 to $14,999","5.0%","±0.1","2.9%","±0.1","1.4%","±0.1","9.4%","±0.1"
"$15,000 to $24,999","10.2%","±0.1","7.5%","±0.1","4.7%","±0.1","16.2%","±0.1"
"$25,000 to $34,999","9.8%","±0.1","8.5%","±0.1","6.7%","±0.1","12.7%","±0.1"
"$35,000 to $49,999","13.2%","±0.1","12.6%","±0.1","11.3%","±0.1","14.5%","±0.1"
"$50,000 to $74,999","17.8%","±0.1","18.6%","±0.1","19.1%","±0.1","15.6%","±0.1"
"$75,000 to $99,999","12.2%","±0.1","14.2%","±0.1","16.1%","±0.1","7.8%","±0.1"
"$100,000 to $149,999","13.6%","±0.1","16.8%","±0.1","20.4%","±0.1","6.6%","±0.1"
"$150,000 to $199,999","5.5%","±0.1","7.1%","±0.1","9.0%","±0.1","2.1%","±0.1"
"$200,000 or more","5.8%","±0.1","7.5%","±0.1","9.8%","±0.1","2.1%","±0.1"
"Median income (dollars)","55,775","±85","68,260","±158","82,078","±115","33,617","±128"
"Mean income (dollars)","78,378","±124","91,561","±172","106,942","±211","49,834","±142"
"PERCENT IMPUTED","","","","","","","",""
"    Household income in the past 12 months","35.6%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Family income in the past 12 months","(X)","(X)","36.2%","(X)","(X)","(X)","(X)","(X)"
"    Nonfamily income in the past 12 months","(X)","(X)","(X)","(X)","(X)","(X)","32.7%","(X)"
