"Label (Grouping)","United States!!Households!!Estimate","United States!!Households!!Margin of Error","United States!!Families!!Estimate","United States!!Families!!Margin of Error","United States!!Married-couple families!!Estimate","United States!!Married-couple families!!Margin of Error","United States!!Nonfamily households!!Estimate","United States!!Nonfamily households!!Margin of Error"
"Total","115,969,540","±150,555","76,509,262","±122,329","55,754,450","±142,830","39,460,278","±82,851"
"Less than $10,000","7.7%","±0.1","5.0%","±0.1","1.7%","±0.1","14.2%","±0.1"
"$10,000 to $14,999","5.6%","±0.1","3.4%","±0.1","1.7%","±0.1","10.5%","±0.1"
"$15,000 to $24,999","11.1%","±0.1","8.5%","±0.1","5.7%","±0.1","16.8%","±0.1"
"$25,000 to $34,999","10.4%","±0.1","9.2%","±0.1","7.5%","±0.1","12.9%","±0.1"
"$35,000 to $49,999","13.8%","±0.1","13.3%","±0.1","12.3%","±0.1","14.5%","±0.1"
"$50,000 to $74,999","18.0%","±0.1","19.2%","±0.1","20.2%","±0.1","15.0%","±0.1"
"$75,000 to $99,999","11.9%","±0.1","14.0%","±0.1","16.3%","±0.1","7.1%","±0.1"
"$100,000 to $149,999","12.4%","±0.1","15.5%","±0.1","19.2%","±0.1","5.6%","±0.1"
"$150,000 to $199,999","4.6%","±0.1","6.0%","±0.1","7.6%","±0.1","1.7%","±0.1"
"$200,000 or more","4.6%","±0.1","5.9%","±0.1","7.7%","±0.1","1.7%","±0.1"
"Median income (dollars)","51,371","±53","62,527","±123","76,035","±121","31,231","±73"
"Mean income (dollars)","71,317","±101","83,124","±147","97,399","±175","45,468","±142"
"PERCENT IMPUTED","","","","","","","",""
"    Household income in the past 12 months","29.2%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Family income in the past 12 months","(X)","(X)","29.7%","(X)","(X)","(X)","(X)","(X)"
"    Nonfamily income in the past 12 months","(X)","(X)","(X)","(X)","(X)","(X)","26.7%","(X)"
