"Label (Grouping)","United States!!Households!!Estimate","United States!!Households!!Margin of Error","United States!!Families!!Estimate","United States!!Families!!Margin of Error","United States!!Married-couple families!!Estimate","United States!!Married-couple families!!Margin of Error","United States!!Nonfamily households!!Estimate","United States!!Nonfamily households!!Margin of Error"
"Total","116,291,033","±141,632","76,680,463","±129,862","55,858,808","±146,049","39,610,570","±97,239"
"Less than $10,000","7.6%","±0.1","4.9%","±0.1","1.7%","±0.1","14.1%","±0.1"
"$10,000 to $14,999","5.4%","±0.1","3.3%","±0.1","1.7%","±0.1","10.0%","±0.1"
"$15,000 to $24,999","10.8%","±0.1","8.2%","±0.1","5.4%","±0.1","16.5%","±0.1"
"$25,000 to $34,999","10.3%","±0.1","9.1%","±0.1","7.3%","±0.1","12.9%","±0.1"
"$35,000 to $49,999","13.6%","±0.1","13.1%","±0.1","12.0%","±0.1","14.6%","±0.1"
"$50,000 to $74,999","17.9%","±0.1","19.0%","±0.1","19.9%","±0.1","15.0%","±0.1"
"$75,000 to $99,999","11.9%","±0.1","13.9%","±0.1","16.1%","±0.1","7.3%","±0.1"
"$100,000 to $149,999","12.7%","±0.1","15.8%","±0.1","19.4%","±0.1","5.9%","±0.1"
"$150,000 to $199,999","4.9%","±0.1","6.3%","±0.1","8.0%","±0.1","1.8%","±0.1"
"$200,000 or more","5.0%","±0.1","6.5%","±0.1","8.5%","±0.1","1.9%","±0.1"
"Median income (dollars)","52,250","±65","64,030","±134","77,607","±152","31,705","±61"
"Mean income (dollars)","73,767","±108","86,046","±153","100,837","±188","46,896","±165"
"PERCENT IMPUTED","","","","","","","",""
"    Household income in the past 12 months","31.5%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Family income in the past 12 months","(X)","(X)","32.1%","(X)","(X)","(X)","(X)","(X)"
"    Nonfamily income in the past 12 months","(X)","(X)","(X)","(X)","(X)","(X)","28.8%","(X)"
