"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"53057","0","10","70","0","1990","A","","Skagit County, Washington","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",2649,30651,551920716,0,0,346,18007,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",237,9.8,2225,7.8,46632084,9.2,-272995210,-100.0,-8606181,-100.0,5,1.5,232,1.3
"53057","1","10","71","0","1990","A","","Skagit County, Washington","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",22,422,10434418,0,0,476,24741,"",1.09,0.47,0.50,0.00,0.00,1.07,1.07,"",-1,-4.3,10,2.4,-1171671,-10.1,0,0.0,0,0.0,-65,-12.0,-3429,-12.2
"53057","1","102","72","0","1990","A","","Skagit County, Washington","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",22,422,10434418,0,0,476,24741,"",1.10,0.49,0.52,0.00,0.00,1.07,1.07,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53057","1","1021","73","0","1990","A","","Skagit County, Washington","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",9,170,4681556,0,0,529,27512,"",1.17,0.63,0.73,0.00,0.00,1.17,1.17,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53057","1","1023","73","0","1990","A","","Skagit County, Washington","Federal Government","Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,4,74320,0,0,357,18580,"",1.23,0.39,0.30,0.00,0.00,0.77,0.77,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53057","1","1026","73","0","1990","A","","Skagit County, Washington","Federal Government","Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",2,70,1753676,0,0,484,25172,"",5.23,3.79,8.46,0.00,0.00,2.24,2.24,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53057","1","1028","73","0","1990","A","","Skagit County, Washington","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",10,178,3924866,0,0,424,22060,"",0.96,0.38,0.36,0.00,0.00,0.95,0.95,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53057","1","48-49","74","0","1990","A","","Skagit County, Washington","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",9,170,4681556,0,0,529,27512,"",1.21,0.69,0.78,0.00,0.00,1.12,1.12,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53057","1","491","75","0","1990","A","","Skagit County, Washington","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",9,170,4681556,0,0,529,27512,"",1.23,0.73,0.83,0.00,0.00,1.13,1.13,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53057","1","4911","76","0","1990","A","","Skagit County, Washington","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",9,170,4681556,0,0,529,27512,"",1.23,0.73,0.83,0.00,0.00,1.13,1.13,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53057","1","49111","77","0","1990","A","","Skagit County, Washington","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",9,170,4681556,0,0,529,27512,"",1.23,0.73,0.83,0.00,0.00,1.13,1.13,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53057","1","491110","78","0","1990","A","","Skagit County, Washington","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",9,170,4681556,0,0,529,27512,"",1.23,0.73,0.83,0.00,0.00,1.13,1.13,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
